FAC_ID,FREQ,CALL,STATE,CITY,PWR_D,PWR_N,PWR_C,MODE,LAT,LON,STATUS,CALL_HIST,County,FIPS
68759,1460,WEMK,WI,WEST ALLIS,1000,240,,,43.0089,-88.0351,LICEN,"WBZN, WKKV, WBJX, WJTI",Milwaukee,55079
60029,1560,WBOL,TN,BOLIVAR,250,,,,35.2584,-88.9806,LICEN,"WJDS, WQKZ",Hardeman,47069
11016,590,KGLE,MT,GLENDIVE,1000,111,,,47.0972,-104.7864,LICEN,,Dawson,30021
13803,1240,KASO,LA,MINDEN,1000,1000,,,32.6307,-93.2824,LICEN,,Webster,22119
56324,1250,WKDX,NC,HAMLET,1000,80,,,34.8852,-79.6803,LICEN,,Richmond,37153
38333,1580,WNYG,NY,PATCHOGUE,10000,500,,,40.7959,-72.9918,LICEN,"WYFA, WLIM",Suffolk,36103
19673,1590,WFBR,MD,GLEN BURNIE,1000,1000,,,39.1768,-76.6219,LICEN,WJRO,Anne Arundel,24003
39463,1320,KNIA,IA,KNOXVILLE,500,222,,,41.3306,-93.1096,LICEN,,Marion,19125
87143,1660,KWOD,KS,KANSAS CITY,10000,1000,,,39.0719,-94.683,LICEN,"KBJC, KWSJ, KXTR, WDAF, KXTR, KUDL",Wyandotte,20209
42379,1050,KMTA,MT,MILES CITY,10000,136,,,46.4011,-105.6522,LICEN,KCCA,Custer,30017
53601,690,WOKV,FL,JACKSONVILLE,,25000,,,30.308,-81.9396,LICEN,"WJKF, WPDQ",Duval,12031
74108,1150,WTMP,FL,EGYPT LAKE,10000,500,,,28.012,-82.4979,LICEN,,Hillsborough,12057
49438,1240,WCNC,NC,ELIZABETH CITY,1000,1000,,,36.3107,-76.2319,LICEN,,Pasquotank,37139
26893,680,KUTI,WA,LACEY,250,,,,47.0617,-122.8301,LICEN,"KNTE, KLDY, KBRD",Thurston,53067
39258,850,KFUO,MO,CLAYTON,3800,,,,38.5242,-90.2393,LICEN,,St. Clair,17163
70851,1050,WAMN,WV,GREEN VALLEY,1430,200,,,37.3057,-81.1248,LICEN,,Mercer,54055
71137,1380,WKDM,NY,NEW YORK,5000,13000,,,40.8204,-74.0674,LICEN,"WBNX, WKDM, WKDM, WNNY, WLXE",Bergen,34003
